U$1, 327.22, 13.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$1383, 170.90, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1385, 170.89, 52.10, 0.00, 3512-LED, 3512-LED
U$1386, 170.91, 45.90, 180.00, 3512-LED, 3512-LED
U$1387, 162.10, 47.40, 180.00, 0603-1U-CAP, 0603
U$1388, 162.10, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1390, 162.09, 52.10, 0.00, 3512-LED, 3512-LED
U$1391, 162.11, 45.90, 180.00, 3512-LED, 3512-LED
U$1392, 153.30, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1394, 153.29, 52.10, 0.00, 3512-LED, 3512-LED
U$1395, 153.31, 45.90, 180.00, 3512-LED, 3512-LED
U$1396, 144.50, 47.40, 180.00, 0603-1U-CAP, 0603
U$1397, 144.50, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1399, 144.49, 52.10, 0.00, 3512-LED, 3512-LED
U$14, 311.70, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$140, 109.29, 16.10, 0.00, 3512-LED, 3512-LED
U$1400, 144.51, 45.90, 180.00, 3512-LED, 3512-LED
U$1401, 135.70, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1403, 135.69, 52.10, 0.00, 3512-LED, 3512-LED
U$1404, 135.71, 45.90, 180.00, 3512-LED, 3512-LED
U$1405, 126.90, 47.40, 180.00, 0603-1U-CAP, 0603
U$1406, 126.90, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1408, 126.89, 52.10, 0.00, 3512-LED, 3512-LED
U$1409, 126.91, 45.90, 180.00, 3512-LED, 3512-LED
U$141, 109.31, 9.90, 180.00, 3512-LED, 3512-LED
U$1410, 118.10, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1412, 118.09, 52.10, 0.00, 3512-LED, 3512-LED
U$1413, 118.11, 45.90, 180.00, 3512-LED, 3512-LED
U$1414, 109.30, 47.40, 180.00, 0603-1U-CAP, 0603
U$1415, 109.30, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1417, 109.29, 52.10, 0.00, 3512-LED, 3512-LED
U$1418, 109.31, 45.90, 180.00, 3512-LED, 3512-LED
U$1419, 100.50, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$142, 100.50, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1421, 100.49, 52.10, 0.00, 3512-LED, 3512-LED
U$1422, 100.51, 45.90, 180.00, 3512-LED, 3512-LED
U$1423, 91.70, 47.40, 180.00, 0603-1U-CAP, 0603
U$1424, 91.70, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1426, 91.69, 52.10, 0.00, 3512-LED, 3512-LED
U$1427, 91.71, 45.90, 180.00, 3512-LED, 3512-LED
U$1428, 82.90, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1430, 82.89, 52.10, 0.00, 3512-LED, 3512-LED
U$1431, 82.91, 45.90, 180.00, 3512-LED, 3512-LED
U$1432, 74.10, 47.40, 180.00, 0603-1U-CAP, 0603
U$1433, 74.10, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1435, 74.09, 52.10, 0.00, 3512-LED, 3512-LED
U$1436, 74.11, 45.90, 180.00, 3512-LED, 3512-LED
U$1437, 65.30, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1439, 65.29, 52.10, 0.00, 3512-LED, 3512-LED
U$144, 100.49, 16.10, 0.00, 3512-LED, 3512-LED
U$1440, 65.31, 45.90, 180.00, 3512-LED, 3512-LED
U$1441, 56.50, 47.40, 180.00, 0603-1U-CAP, 0603
U$1442, 56.50, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
