U$1, 327.22, 13.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$3342, 170.91, 99.90, 180.00, 3512-LED, 3512-LED
U$3343, 162.10, 101.40, 180.00, 0603-1U-CAP, 0603
U$3344, 162.10, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3346, 162.09, 106.10, 0.00, 3512-LED, 3512-LED
U$3347, 162.11, 99.90, 180.00, 3512-LED, 3512-LED
U$3348, 153.30, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$335, 311.69, 25.10, 0.00, 3512-LED, 3512-LED
U$3350, 153.29, 106.10, 0.00, 3512-LED, 3512-LED
U$3351, 153.31, 99.90, 180.00, 3512-LED, 3512-LED
U$3352, 144.50, 101.40, 180.00, 0603-1U-CAP, 0603
U$3353, 144.50, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3355, 144.49, 106.10, 0.00, 3512-LED, 3512-LED
U$3356, 144.51, 99.90, 180.00, 3512-LED, 3512-LED
U$3357, 135.70, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3359, 135.69, 106.10, 0.00, 3512-LED, 3512-LED
U$336, 311.71, 18.90, 180.00, 3512-LED, 3512-LED
U$3360, 135.71, 99.90, 180.00, 3512-LED, 3512-LED
U$3361, 126.90, 101.40, 180.00, 0603-1U-CAP, 0603
U$3362, 126.90, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3364, 126.89, 106.10, 0.00, 3512-LED, 3512-LED
U$3365, 126.91, 99.90, 180.00, 3512-LED, 3512-LED
U$3366, 118.10, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3368, 118.09, 106.10, 0.00, 3512-LED, 3512-LED
U$3369, 118.11, 99.90, 180.00, 3512-LED, 3512-LED
U$337, 302.90, 20.40, 180.00, 0603-1U-CAP, 0603
U$3370, 109.30, 101.40, 180.00, 0603-1U-CAP, 0603
U$3371, 109.30, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3373, 109.29, 106.10, 0.00, 3512-LED, 3512-LED
U$3374, 109.31, 99.90, 180.00, 3512-LED, 3512-LED
U$3375, 100.50, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3377, 100.49, 106.10, 0.00, 3512-LED, 3512-LED
U$3378, 100.51, 99.90, 180.00, 3512-LED, 3512-LED
U$3379, 91.70, 101.40, 180.00, 0603-1U-CAP, 0603
U$338, 302.90, 22.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3380, 91.70, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3382, 91.69, 106.10, 0.00, 3512-LED, 3512-LED
U$3383, 91.71, 99.90, 180.00, 3512-LED, 3512-LED
U$3384, 82.90, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3386, 82.89, 106.10, 0.00, 3512-LED, 3512-LED
U$3387, 82.91, 99.90, 180.00, 3512-LED, 3512-LED
U$3388, 74.10, 101.40, 180.00, 0603-1U-CAP, 0603
U$3389, 74.10, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3391, 74.09, 106.10, 0.00, 3512-LED, 3512-LED
U$3392, 74.11, 99.90, 180.00, 3512-LED, 3512-LED
U$3393, 65.30, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3395, 65.29, 106.10, 0.00, 3512-LED, 3512-LED
U$3396, 65.31, 99.90, 180.00, 3512-LED, 3512-LED
U$3397, 56.50, 101.40, 180.00, 0603-1U-CAP, 0603
U$3398, 56.50, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$34, 294.10, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$340, 302.89, 25.10, 0.00, 3512-LED, 3512-LED
U$3400, 56.49, 106.10, 0.00, 3512-LED, 3512-LED
U$3401, 56.51, 99.90, 180.00, 3512-LED, 3512-LED
U$3402, 47.70, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3404, 47.69, 106.10, 0.00, 3512-LED, 3512-LED
U$3405, 47.71, 99.90, 180.00, 3512-LED, 3512-LED
U$3406, 38.90, 101.40, 180.00, 0603-1U-CAP, 0603
U$3407, 38.90, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3409, 38.89, 106.10, 0.00, 3512-LED, 3512-LED
U$341, 302.91, 18.90, 180.00, 3512-LED, 3512-LED
U$3410, 38.91, 99.90, 180.00, 3512-LED, 3512-LED
U$3411, 30.10, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3413, 30.09, 106.10, 0.00, 3512-LED, 3512-LED
U$3414, 30.11, 99.90, 180.00, 3512-LED, 3512-LED
U$3415, 21.30, 101.40, 180.00, 0603-1U-CAP, 0603
U$3416, 21.30, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3418, 21.29, 106.10, 0.00, 3512-LED, 3512-LED
U$3419, 21.31, 99.90, 180.00, 3512-LED, 3512-LED
U$342, 294.10, 22.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3420, 12.50, 103.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3422, 12.49, 106.10, 0.00, 3512-LED, 3512-LED
U$3423, 12.51, 99.90, 180.00, 3512-LED, 3512-LED
U$344, 294.09, 25.10, 0.00, 3512-LED, 3512-LED
U$345, 294.11, 18.90, 180.00, 3512-LED, 3512-LED
U$346, 285.30, 20.40, 180.00, 0603-1U-CAP, 0603
U$347, 285.30, 22.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$349, 285.29, 25.10, 0.00, 3512-LED, 3512-LED
U$350, 285.31, 18.90, 180.00, 3512-LED, 3512-LED
U$351, 276.50, 22.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$353, 276.49, 25.10, 0.00, 3512-LED, 3512-LED
U$354, 276.51, 18.90, 180.00, 3512-LED, 3512-LED
U$355, 267.70, 20.40, 180.00, 0603-1U-CAP, 0603
U$356, 267.70, 22.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$358, 267.69, 25.10, 0.00, 3512-LED, 3512-LED
U$3587, 327.22, 112.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$3588, 320.50, 110.40, 180.00, 0603-1U-CAP, 0603
U$3589, 320.50, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$359, 267.71, 18.90, 180.00, 3512-LED, 3512-LED
U$3591, 320.49, 115.10, 0.00, 3512-LED, 3512-LED
U$3592, 320.51, 108.90, 180.00, 3512-LED, 3512-LED
U$3593, 311.70, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3595, 311.69, 115.10, 0.00, 3512-LED, 3512-LED
U$3596, 311.71, 108.90, 180.00, 3512-LED, 3512-LED
U$3597, 302.90, 110.40, 180.00, 0603-1U-CAP, 0603
U$3598, 302.90, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$36, 294.09, 16.10, 0.00, 3512-LED, 3512-LED
U$360, 258.90, 22.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3600, 302.89, 115.10, 0.00, 3512-LED, 3512-LED
U$3601, 302.91, 108.90, 180.00, 3512-LED, 3512-LED
U$3602, 294.10, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3604, 294.09, 115.10, 0.00, 3512-LED, 3512-LED
U$3605, 294.11, 108.90, 180.00, 3512-LED, 3512-LED
U$3606, 285.30, 110.40, 180.00, 0603-1U-CAP, 0603
U$3607, 285.30, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3609, 285.29, 115.10, 0.00, 3512-LED, 3512-LED
U$3610, 285.31, 108.90, 180.00, 3512-LED, 3512-LED
U$3611, 276.50, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3613, 276.49, 115.10, 0.00, 3512-LED, 3512-LED
U$3614, 276.51, 108.90, 180.00, 3512-LED, 3512-LED
U$3615, 267.70, 110.40, 180.00, 0603-1U-CAP, 0603
U$3616, 267.70, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3618, 267.69, 115.10, 0.00, 3512-LED, 3512-LED
U$3619, 267.71, 108.90, 180.00, 3512-LED, 3512-LED
U$362, 258.89, 25.10, 0.00, 3512-LED, 3512-LED
U$3620, 258.90, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3622, 258.89, 115.10, 0.00, 3512-LED, 3512-LED
U$3623, 258.91, 108.90, 180.00, 3512-LED, 3512-LED
U$3624, 250.10, 110.40, 180.00, 0603-1U-CAP, 0603
U$3625, 250.10, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3627, 250.09, 115.10, 0.00, 3512-LED, 3512-LED
U$3628, 250.11, 108.90, 180.00, 3512-LED, 3512-LED
U$3629, 241.30, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$363, 258.91, 18.90, 180.00, 3512-LED, 3512-LED
U$3631, 241.29, 115.10, 0.00, 3512-LED, 3512-LED
U$3632, 241.31, 108.90, 180.00, 3512-LED, 3512-LED
U$3633, 232.50, 110.40, 180.00, 0603-1U-CAP, 0603
U$3634, 232.50, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3636, 232.49, 115.10, 0.00, 3512-LED, 3512-LED
U$3637, 232.51, 108.90, 180.00, 3512-LED, 3512-LED
U$3638, 223.70, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$364, 250.10, 20.40, 180.00, 0603-1U-CAP, 0603
U$3640, 223.69, 115.10, 0.00, 3512-LED, 3512-LED
U$3641, 223.71, 108.90, 180.00, 3512-LED, 3512-LED
U$3642, 214.90, 110.40, 180.00, 0603-1U-CAP, 0603
U$3643, 214.90, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3645, 214.89, 115.10, 0.00, 3512-LED, 3512-LED
U$3646, 214.91, 108.90, 180.00, 3512-LED, 3512-LED
U$3647, 206.10, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3649, 206.09, 115.10, 0.00, 3512-LED, 3512-LED
U$365, 250.10, 22.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3650, 206.11, 108.90, 180.00, 3512-LED, 3512-LED
U$3651, 197.30, 110.40, 180.00, 0603-1U-CAP, 0603
U$3652, 197.30, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3654, 197.29, 115.10, 0.00, 3512-LED, 3512-LED
U$3655, 197.31, 108.90, 180.00, 3512-LED, 3512-LED
U$3656, 188.50, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3658, 188.49, 115.10, 0.00, 3512-LED, 3512-LED
U$3659, 188.51, 108.90, 180.00, 3512-LED, 3512-LED
U$3660, 179.70, 110.40, 180.00, 0603-1U-CAP, 0603
U$3661, 179.70, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3663, 179.69, 115.10, 0.00, 3512-LED, 3512-LED
U$3664, 179.71, 108.90, 180.00, 3512-LED, 3512-LED
U$3665, 170.90, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3667, 170.89, 115.10, 0.00, 3512-LED, 3512-LED
U$3668, 170.91, 108.90, 180.00, 3512-LED, 3512-LED
U$3669, 162.10, 110.40, 180.00, 0603-1U-CAP, 0603
U$367, 250.09, 25.10, 0.00, 3512-LED, 3512-LED
U$3670, 162.10, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3672, 162.09, 115.10, 0.00, 3512-LED, 3512-LED
U$3673, 162.11, 108.90, 180.00, 3512-LED, 3512-LED
U$3674, 153.30, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3676, 153.29, 115.10, 0.00, 3512-LED, 3512-LED
U$3677, 153.31, 108.90, 180.00, 3512-LED, 3512-LED
U$3678, 144.50, 110.40, 180.00, 0603-1U-CAP, 0603
U$3679, 144.50, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$368, 250.11, 18.90, 180.00, 3512-LED, 3512-LED
U$3681, 144.49, 115.10, 0.00, 3512-LED, 3512-LED
U$3682, 144.51, 108.90, 180.00, 3512-LED, 3512-LED
U$3683, 135.70, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3685, 135.69, 115.10, 0.00, 3512-LED, 3512-LED
U$3686, 135.71, 108.90, 180.00, 3512-LED, 3512-LED
U$3687, 126.90, 110.40, 180.00, 0603-1U-CAP, 0603
U$3688, 126.90, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$369, 241.30, 22.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3690, 126.89, 115.10, 0.00, 3512-LED, 3512-LED
U$3691, 126.91, 108.90, 180.00, 3512-LED, 3512-LED
U$3692, 118.10, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3694, 118.09, 115.10, 0.00, 3512-LED, 3512-LED
U$3695, 118.11, 108.90, 180.00, 3512-LED, 3512-LED
U$3696, 109.30, 110.40, 180.00, 0603-1U-CAP, 0603
U$3697, 109.30, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3699, 109.29, 115.10, 0.00, 3512-LED, 3512-LED
U$37, 294.11, 9.90, 180.00, 3512-LED, 3512-LED
U$3700, 109.31, 108.90, 180.00, 3512-LED, 3512-LED
U$3701, 100.50, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3703, 100.49, 115.10, 0.00, 3512-LED, 3512-LED
U$3704, 100.51, 108.90, 180.00, 3512-LED, 3512-LED
U$3705, 91.70, 110.40, 180.00, 0603-1U-CAP, 0603
U$3706, 91.70, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3708, 91.69, 115.10, 0.00, 3512-LED, 3512-LED
U$3709, 91.71, 108.90, 180.00, 3512-LED, 3512-LED
U$371, 241.29, 25.10, 0.00, 3512-LED, 3512-LED
U$3710, 82.90, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3712, 82.89, 115.10, 0.00, 3512-LED, 3512-LED
U$3713, 82.91, 108.90, 180.00, 3512-LED, 3512-LED
U$3714, 74.10, 110.40, 180.00, 0603-1U-CAP, 0603
U$3715, 74.10, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3717, 74.09, 115.10, 0.00, 3512-LED, 3512-LED
U$3718, 74.11, 108.90, 180.00, 3512-LED, 3512-LED
U$3719, 65.30, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$372, 241.31, 18.90, 180.00, 3512-LED, 3512-LED
U$3721, 65.29, 115.10, 0.00, 3512-LED, 3512-LED
U$3722, 65.31, 108.90, 180.00, 3512-LED, 3512-LED
U$3723, 56.50, 110.40, 180.00, 0603-1U-CAP, 0603
U$3724, 56.50, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3726, 56.49, 115.10, 0.00, 3512-LED, 3512-LED
U$3727, 56.51, 108.90, 180.00, 3512-LED, 3512-LED
U$3728, 47.70, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$373, 232.50, 20.40, 180.00, 0603-1U-CAP, 0603
U$3730, 47.69, 115.10, 0.00, 3512-LED, 3512-LED
U$3731, 47.71, 108.90, 180.00, 3512-LED, 3512-LED
U$3732, 38.90, 110.40, 180.00, 0603-1U-CAP, 0603
U$3733, 38.90, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3735, 38.89, 115.10, 0.00, 3512-LED, 3512-LED
U$3736, 38.91, 108.90, 180.00, 3512-LED, 3512-LED
U$3737, 30.10, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3739, 30.09, 115.10, 0.00, 3512-LED, 3512-LED
U$374, 232.50, 22.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3740, 30.11, 108.90, 180.00, 3512-LED, 3512-LED
U$3741, 21.30, 110.40, 180.00, 0603-1U-CAP, 0603
U$3742, 21.30, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3744, 21.29, 115.10, 0.00, 3512-LED, 3512-LED
U$3745, 21.31, 108.90, 180.00, 3512-LED, 3512-LED
U$3746, 12.50, 112.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3748, 12.49, 115.10, 0.00, 3512-LED, 3512-LED
U$3749, 12.51, 108.90, 180.00, 3512-LED, 3512-LED
U$376, 232.49, 25.10, 0.00, 3512-LED, 3512-LED
U$377, 232.51, 18.90, 180.00, 3512-LED, 3512-LED
U$378, 223.70, 22.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$380, 223.69, 25.10, 0.00, 3512-LED, 3512-LED
U$381, 223.71, 18.90, 180.00, 3512-LED, 3512-LED
U$382, 214.90, 20.40, 180.00, 0603-1U-CAP, 0603
U$383, 214.90, 22.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$385, 214.89, 25.10, 0.00, 3512-LED, 3512-LED
U$386, 214.91, 18.90, 180.00, 3512-LED, 3512-LED
U$387, 206.10, 22.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$389, 206.09, 25.10, 0.00, 3512-LED, 3512-LED
U$390, 206.11, 18.90, 180.00, 3512-LED, 3512-LED
U$391, 197.30, 20.40, 180.00, 0603-1U-CAP, 0603
U$3913, 327.22, 121.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$3914, 320.50, 119.40, 180.00, 0603-1U-CAP, 0603
U$3915, 320.50, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3917, 320.49, 124.10, 0.00, 3512-LED, 3512-LED
U$3918, 320.51, 117.90, 180.00, 3512-LED, 3512-LED
U$3919, 311.70, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$392, 197.30, 22.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3921, 311.69, 124.10, 0.00, 3512-LED, 3512-LED
U$3922, 311.71, 117.90, 180.00, 3512-LED, 3512-LED
U$3923, 302.90, 119.40, 180.00, 0603-1U-CAP, 0603
U$3924, 302.90, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3926, 302.89, 124.10, 0.00, 3512-LED, 3512-LED
U$3927, 302.91, 117.90, 180.00, 3512-LED, 3512-LED
U$3928, 294.10, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3930, 294.09, 124.10, 0.00, 3512-LED, 3512-LED
U$3931, 294.11, 117.90, 180.00, 3512-LED, 3512-LED
U$3932, 285.30, 119.40, 180.00, 0603-1U-CAP, 0603
U$3933, 285.30, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3935, 285.29, 124.10, 0.00, 3512-LED, 3512-LED
U$3936, 285.31, 117.90, 180.00, 3512-LED, 3512-LED
U$3937, 276.50, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3939, 276.49, 124.10, 0.00, 3512-LED, 3512-LED
U$394, 197.29, 25.10, 0.00, 3512-LED, 3512-LED
U$3940, 276.51, 117.90, 180.00, 3512-LED, 3512-LED
U$3941, 267.70, 119.40, 180.00, 0603-1U-CAP, 0603
U$3942, 267.70, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3944, 267.69, 124.10, 0.00, 3512-LED, 3512-LED
U$3945, 267.71, 117.90, 180.00, 3512-LED, 3512-LED
U$3946, 258.90, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3948, 258.89, 124.10, 0.00, 3512-LED, 3512-LED
U$3949, 258.91, 117.90, 180.00, 3512-LED, 3512-LED
U$395, 197.31, 18.90, 180.00, 3512-LED, 3512-LED
U$3950, 250.10, 119.40, 180.00, 0603-1U-CAP, 0603
U$3951, 250.10, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3953, 250.09, 124.10, 0.00, 3512-LED, 3512-LED
U$3954, 250.11, 117.90, 180.00, 3512-LED, 3512-LED
U$3955, 241.30, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3957, 241.29, 124.10, 0.00, 3512-LED, 3512-LED
U$3958, 241.31, 117.90, 180.00, 3512-LED, 3512-LED
U$3959, 232.50, 119.40, 180.00, 0603-1U-CAP, 0603
U$396, 188.50, 22.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3960, 232.50, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3962, 232.49, 124.10, 0.00, 3512-LED, 3512-LED
U$3963, 232.51, 117.90, 180.00, 3512-LED, 3512-LED
U$3964, 223.70, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3966, 223.69, 124.10, 0.00, 3512-LED, 3512-LED
U$3967, 223.71, 117.90, 180.00, 3512-LED, 3512-LED
U$3968, 214.90, 119.40, 180.00, 0603-1U-CAP, 0603
U$3969, 214.90, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3971, 214.89, 124.10, 0.00, 3512-LED, 3512-LED
U$3972, 214.91, 117.90, 180.00, 3512-LED, 3512-LED
U$3973, 206.10, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3975, 206.09, 124.10, 0.00, 3512-LED, 3512-LED
U$3976, 206.11, 117.90, 180.00, 3512-LED, 3512-LED
U$3977, 197.30, 119.40, 180.00, 0603-1U-CAP, 0603
U$3978, 197.30, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$398, 188.49, 25.10, 0.00, 3512-LED, 3512-LED
U$3980, 197.29, 124.10, 0.00, 3512-LED, 3512-LED
U$3981, 197.31, 117.90, 180.00, 3512-LED, 3512-LED
U$3982, 188.50, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3984, 188.49, 124.10, 0.00, 3512-LED, 3512-LED
U$3985, 188.51, 117.90, 180.00, 3512-LED, 3512-LED
U$3986, 179.70, 119.40, 180.00, 0603-1U-CAP, 0603
U$3987, 179.70, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3989, 179.69, 124.10, 0.00, 3512-LED, 3512-LED
U$399, 188.51, 18.90, 180.00, 3512-LED, 3512-LED
U$3990, 179.71, 117.90, 180.00, 3512-LED, 3512-LED
U$3991, 170.90, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3993, 170.89, 124.10, 0.00, 3512-LED, 3512-LED
U$3994, 170.91, 117.90, 180.00, 3512-LED, 3512-LED
U$3995, 162.10, 119.40, 180.00, 0603-1U-CAP, 0603
U$3996, 162.10, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3998, 162.09, 124.10, 0.00, 3512-LED, 3512-LED
U$3999, 162.11, 117.90, 180.00, 3512-LED, 3512-LED
U$400, 179.70, 20.40, 180.00, 0603-1U-CAP, 0603
U$4000, 153.30, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$4002, 153.29, 124.10, 0.00, 3512-LED, 3512-LED
U$4003, 153.31, 117.90, 180.00, 3512-LED, 3512-LED
U$4004, 144.50, 119.40, 180.00, 0603-1U-CAP, 0603
U$4005, 144.50, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$4007, 144.49, 124.10, 0.00, 3512-LED, 3512-LED
U$4008, 144.51, 117.90, 180.00, 3512-LED, 3512-LED
U$4009, 135.70, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$401, 179.70, 22.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$4011, 135.69, 124.10, 0.00, 3512-LED, 3512-LED
U$4012, 135.71, 117.90, 180.00, 3512-LED, 3512-LED
U$4013, 126.90, 119.40, 180.00, 0603-1U-CAP, 0603
U$4014, 126.90, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$4016, 126.89, 124.10, 0.00, 3512-LED, 3512-LED
U$4017, 126.91, 117.90, 180.00, 3512-LED, 3512-LED
U$4018, 118.10, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$4020, 118.09, 124.10, 0.00, 3512-LED, 3512-LED
U$4021, 118.11, 117.90, 180.00, 3512-LED, 3512-LED
U$4022, 109.30, 119.40, 180.00, 0603-1U-CAP, 0603
U$4023, 109.30, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$4025, 109.29, 124.10, 0.00, 3512-LED, 3512-LED
U$4026, 109.31, 117.90, 180.00, 3512-LED, 3512-LED
U$4027, 100.50, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$4029, 100.49, 124.10, 0.00, 3512-LED, 3512-LED
U$403, 179.69, 25.10, 0.00, 3512-LED, 3512-LED
U$4030, 100.51, 117.90, 180.00, 3512-LED, 3512-LED
U$4031, 91.70, 119.40, 180.00, 0603-1U-CAP, 0603
U$4032, 91.70, 121.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$4034, 91.69, 124.10, 0.00, 3512-LED, 3512-LED
U$4035, 91.71, 117.90, 180.00, 3512-LED, 3512-LED
