FD5, 360.68, 144.43, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
U$229, 89.28, 72.25, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$230, 85.48, 67.02, 240.00, 0603-1U-CAP, 0603
U$231, 97.29, 74.34, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$232, 88.11, 65.50, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$233, 94.93, 61.56, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$234, 101.73, 57.64, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$235, 102.80, 49.63, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$236, 104.99, 41.65, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$237, 109.21, 60.74, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$238, 117.22, 62.83, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$239, 106.11, 55.11, 240.00, 0603-1U-CAP, 0603
U$240, 108.55, 53.70, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$241, 115.37, 49.76, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$3, 60.84, 65.48, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$4, 60.84, 57.63, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$437, 182.51, 10.28, 0.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$439, 182.51, 73.35, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$440, 182.51, 65.48, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$441, 182.51, 57.63, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$442, 176.11, 52.12, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$443, 170.29, 46.25, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$444, 188.94, 52.12, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$445, 182.51, 52.80, 180.00, 0603-1U-CAP, 0603
U$446, 194.75, 46.22, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$447, 182.51, 49.75, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$448, 182.51, 41.88, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$449, 182.51, 34.03, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$450, 176.11, 29.10, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$451, 170.29, 23.21, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$452, 188.94, 29.10, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$453, 194.75, 23.21, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$454, 182.51, 28.97, 180.00, 0603-1U-CAP, 0603
U$455, 182.51, 26.16, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$456, 182.51, 18.28, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$475, 175.67, 77.30, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$476, 168.86, 73.36, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$477, 162.06, 69.44, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$478, 154.08, 72.22, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$479, 146.09, 74.33, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$480, 160.50, 61.12, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$481, 157.88, 67.02, 120.00, 0603-1U-CAP, 0603
U$482, 158.30, 53.13, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$483, 155.24, 65.50, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$484, 148.42, 61.56, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$485, 141.62, 57.64, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$486, 134.15, 60.72, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$487, 126.14, 62.81, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$488, 140.57, 49.61, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$489, 138.37, 41.63, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$490, 137.24, 55.11, 120.00, 0603-1U-CAP, 0603
U$491, 134.80, 53.70, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$492, 127.98, 49.76, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$5, 54.44, 52.12, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$511, 175.67, 85.19, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$512, 168.86, 89.13, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$513, 162.06, 93.05, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$514, 160.49, 101.35, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$515, 158.31, 109.32, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$516, 154.07, 90.24, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$517, 157.88, 95.47, 60.00, 0603-1U-CAP, 0603
U$518, 146.06, 88.15, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$519, 155.24, 96.99, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$520, 148.42, 100.93, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$521, 141.62, 104.85, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$522, 140.56, 112.86, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$523, 138.36, 120.84, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$524, 134.14, 101.75, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$525, 126.13, 99.66, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$526, 137.24, 107.38, 60.00, 0603-1U-CAP, 0603
U$527, 134.80, 108.79, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$528, 127.98, 112.73, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$547, 182.51, 89.14, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$548, 182.51, 97.01, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$549, 182.51, 104.86, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$550, 188.91, 110.37, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$551, 194.73, 116.24, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$552, 176.08, 110.37, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$553, 182.51, 109.69, 0.00, 0603-1U-CAP, 0603
U$554, 170.27, 116.27, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$555, 182.51, 112.74, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$556, 182.51, 120.61, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$557, 182.51, 128.46, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$558, 188.91, 133.39, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$559, 194.73, 139.28, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$560, 176.08, 133.39, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$561, 170.27, 139.28, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$562, 182.51, 133.52, 0.00, 0603-1U-CAP, 0603
U$563, 182.51, 136.33, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$564, 182.51, 144.21, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$583, 189.35, 85.19, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$584, 196.17, 89.13, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$585, 202.96, 93.05, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$586, 210.94, 90.27, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
