FD1, 4.45, 11.07, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
U$582, 182.51, 144.21, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$601, 189.35, 85.19, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$602, 196.17, 89.13, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$603, 202.96, 93.05, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$604, 210.94, 90.27, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$605, 218.93, 88.16, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$606, 204.52, 101.37, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$607, 192.64, 87.10, 240.00, 0603-1U-CAP, 0603
U$608, 206.72, 109.36, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$609, 209.78, 96.99, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$610, 216.60, 100.93, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$611, 223.40, 104.85, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$612, 230.87, 101.77, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$613, 238.88, 99.68, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$614, 224.45, 112.88, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$615, 226.65, 120.86, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$616, 213.08, 98.89, 240.00, 0603-1U-CAP, 0603
U$617, 230.22, 108.79, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$618, 237.04, 112.73, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$637, 189.35, 77.30, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$638, 196.17, 73.36, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$639, 202.96, 69.44, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$640, 204.54, 61.14, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$641, 206.71, 53.17, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$642, 210.95, 72.25, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$643, 192.64, 75.39, 300.00, 0603-1U-CAP, 0603
U$644, 218.96, 74.34, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$645, 209.78, 65.50, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$646, 216.60, 61.56, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$647, 223.40, 57.64, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$648, 224.47, 49.63, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$649, 226.66, 41.65, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$650, 230.88, 60.74, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$651, 238.89, 62.83, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$652, 213.08, 63.60, 300.00, 0603-1U-CAP, 0603
U$653, 230.22, 53.70, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$654, 237.04, 49.76, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$80, 54.01, 77.30, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$81, 47.19, 73.36, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$82, 40.39, 69.44, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$83, 32.42, 72.22, 60.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
