C1, 1.10, -59.16, 180.00, 22u, 0603
U$445, 115.27, -29.13, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$446, 109.45, -35.00, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$447, 128.09, -29.13, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$448, 121.67, -28.44, 180.00, 0603-1U-CAP, 0603
U$449, 133.91, -35.02, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$450, 121.67, -31.49, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$451, 121.67, -39.36, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$452, 121.67, -47.21, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$453, 115.27, -52.14, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$454, 109.45, -58.03, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$455, 128.09, -52.14, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$456, 133.91, -58.03, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$457, 121.67, -52.27, 180.00, 0603-1U-CAP, 0603
U$458, 121.67, -55.09, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$476, 121.67, -70.98, 0.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$478, 122.17, -61.95, 90.00, DC-REG-12V-5V-MPM3630GQV-Z, DC-REG-12V-5V-MPM3630GQV-Z
U$481, 114.83, -3.95, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$482, 108.01, -7.88, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
